Mr	Tam Dalyell	Thomas Dalyell	Dalyell	mr-tam-dalyell
Mr	Alistair Darling	Alistair Maclean Darling	Darling	mr-alistair-darling
Mr	Keith Darvill	Keith Ernest Darvill	Darvill	mr-keith-darvill
Mr	Edward Davey	Edward Jonathan Davey	Davey	mr-edward-davey
Mrs	Valerie Davey	Valerie Jean Davey	Davey	mrs-valerie-davey
Mr	Ian Davidson	Ian Graham Davidson	Davidson	mr-ian-davidson
Mr	Denzil Davies	David John Denzil Davies	Davies	mr-denzil-davies
Mr	Geraint Davies	Geraint Richard Davies	Davies	mr-geraint-davies
Mr	Quentin Davies	John Quentin Davies	Davies	mr-quentin-davies
Mr	Ron Davies	Ronald Davies	Davies	mr-ron-davies
Mr	David Davis	David Michael Davis	Davis	mr-david-davis
Mr	Terry Davis	Terence Anthony Gordon Davis	Davis	mr-terry-davis
Mr	Hilton Dawson	Thomas Hilton Dawson	Dawson	mr-hilton-dawson
Mr	Stephen Day	Stephen Richard Day	Day	mr-stephen-day
Mrs	Janet Dean	Janet Elizabeth Ann Dean	Dean	mrs-janet-dean
Mr	John Denham	John Yorke Denham	Denham	mr-john-denham
Mr	Eric Joyce	Eric Joyce	Joyce	mr-eric-joyce
Mr	Andrew Dismore	Andrew Hartley Dismore	Dismore	mr-andrew-dismore
Mr	Jim Dobbin	James Dobbin	Dobbin	mr-jim-dobbin
Mr	Frank Dobson	Frank Gordon Dobson	Dobson	mr-frank-dobson
Mr	Jeffrey Donaldson	Jeffrey Mark Donaldson	Donaldson	mr-jeffrey-donaldson
Sir	John Ennis	John Ennis	Ennis	sir-john-ennis
Mr	Frank Doran	Frank Doran	Doran	mr-frank-doran
Mr	Stephen Dorrell	Stephen James Dorrell	Dorrell	mr-stephen-dorrell
Mr	Jim Dowd	James Patrick Dowd	Dowd	mr-jim-dowd
Mr	David Drew	David Elliott Drew	Drew	mr-david-drew
Ms	Julia Drown	Kate Julia Drown	Drown	ms-julia-drown
Mr	Alan Duncan	Alan James Carter Duncan	Duncan	mr-alan-duncan
Mrs	Gwyneth Dunwoody	Gwyneth Patricia Dunwoody	Dunwoody	mrs-gwyneth-dunwoody
Ms	Angela Eagle	Angela Eagle	Eagle	ms-angela-eagle
Ms	Maria Eagle	Maria Eagle	Eagle	ms-maria-eagle
Mr	Huw Edwards	Huw William Edmund Edwards	Edwards	mr-huw-edwards
Mr	Clive Efford	Clive Stanley Efford	Efford	mr-clive-efford
