Ms	Beverley Hughes	Beverley June Hughes	Hughes	ms-beverley-hughes
Mr	Kevin Hughes	Kevin Michael Hughes	Hughes	mr-kevin-hughes
Mr	Simon Hughes	Simon Henry Ward Hughes	Hughes	mr-simon-hughes
Mrs	Joan Humble	Jovanka Joan Humble	Humble	mrs-joan-humble
Mr	John Hume	John Hume	Hume	mr-john-hume
Mr	Andrew Hunter	Andrew Robert Frederick Hunter	Hunter	mr-andrew-hunter
Mr	Alan Hurst	Alan Arthur Hurst	Hurst	mr-alan-hurst
Mr	John Hutton	John Matthew Patrick Hutton	Hutton	mr-john-hutton
Dr	Brian Iddon	Brian Iddon	Iddon	dr-brian-iddon
Mr	Eric Illsley	Eric Evlyn Illsley	Illsley	mr-eric-illsley
Mr	Adam Ingram	Adam Paterson Ingram	Ingram	mr-adam-ingram
Mr	Michael Jack	John Michael Jack	Jack	mr-michael-jack
Ms	Glenda Jackson	Glenda May Jackson	Jackson	ms-glenda-jackson
Mrs	Helen Jackson	Helen Margaret Jackson	Jackson	mrs-helen-jackson
Mr	Robert Jackson	Robert Victor Jackson	Jackson	mr-robert-jackson
Mr	David Jamieson	David Charles Jamieson	Jamieson	mr-david-jamieson
Hon.	Bernard Jenkin	Bernard Christison Jenkin	Jenkin	hon-bernard-jenkin
Mr	Brian Jenkins	Brian David Jenkins	Jenkins	mr-brian-jenkins
Mr	Alan Johnson	Alan Arthur Johnson	Johnson	mr-alan-johnson
Miss	Melanie Johnson	Melanie Jane Johnson	Johnson	miss-melanie-johnson
Sir	Geoffrey Johnson Smith	Geoffrey Johnson Smith	Johnson Smith	sir-geoffrey-johnson-smith
Mr	Barry Jones	Stephen Barry Jones	Jones	mr-barry-jones
Mrs	Fiona Jones	Fiona Elizabeth Ann Jones	Jones	mrs-fiona-jones
Ms	Helen Jones	Helen Mary Jones	Jones	ms-helen-jones
Mr	Ieuan Wyn Jones	Ieuan Wyn Jones	Jones	mr-ieuan-wyn-jones
Ms	Jenny Jones	 Jones	Jones	ms-jenny-jones
Mr	Jon Owen Jones	Jonathan Owen Jones	Jones	mr-jon-owen-jones
Dr	Lynne Jones	Lynne Mary Jones	Jones	dr-lynne-jones
Mr	Martyn Jones	Martyn David Jones	Jones	mr-martyn-jones
Mr	Nigel Jones	Nigel David Jones	Jones	mr-nigel-jones
Ms	Tessa Jowell	Tessa Jane Helena Douglas Jowell	Jowell	ms-tessa-jowell
Mr	Gerald Kaufman	Gerald Bernard Kaufman	Kaufman	mr-gerald-kaufman
Ms	Sally Keeble	Sally Curtis Keeble	Keeble	ms-sally-keeble
Mr	Alan Keen	David Alan Keen	Keen	mr-alan-keen
Mrs	Ann Keen	Ann Lloyd Keen	Keen	mrs-ann-keen
Mr	Paul Keetch	Paul Stuart Keetch	Keetch	mr-paul-keetch
Ms	Ruth Kelly	Ruth Maria Kelly	Kelly	ms-ruth-kelly
Mr	Fraser Kemp	Fraser Kemp	Kemp	mr-fraser-kemp
Mr	Charles Kennedy	Charles Peter Kennedy	Kennedy	mr-charles-kennedy
Ms	Jane Kennedy	Jane Elizabeth Kennedy	Kennedy	ms-jane-kennedy
Mr	Robert Key	Simon Robert Key	Key	mr-robert-key
Mr	Piara Khabra	Piara Singh Khabra	Khabra	mr-piara-khabra
Mr	David Kidney	David Neil Kidney	Kidney	mr-david-kidney
Mr	Peter Kilfoyle	Peter Kilfoyle	Kilfoyle	mr-peter-kilfoyle
Mr	Andrew King	Andrew King	King	mr-andrew-king
Ms	Oona King	Oona Tamsyn King	King	ms-oona-king
Mr	Tom King	Thomas Jeremy King	King	mr-tom-king
Ms	Tess Kingham	Tess Jane Kingham	Kingham	ms-tess-kingham
Miss	Julie Kirkbride	Julie Kirkbride	Kirkbride	miss-julie-kirkbride
Mr	Archy Kirkwood	Archibald Johnstone Kirkwood	Kirkwood	mr-archy-kirkwood
Dr	Ashok Kumar	Ashok Kumar	Kumar	dr-ashok-kumar
Dr	Stephen Ladyman	Stephen John Ladyman	Ladyman	dr-stephen-ladyman
Mrs	Eleanor Laing	Eleanor Fulton Patricia Laing	Laing	mrs-eleanor-laing
Mr	Andrew Lansley	Andrew David Lansley	Lansley	mr-andrew-lansley
Mrs	Jackie Lawrence	Jacqueline Rita Lawrence	Lawrence	mrs-jackie-lawrence
Mr	Bob Laxton	Robert Laxton	Laxton	mr-bob-laxton
Mr	Edward Leigh	Edward Julian Egerton Leigh	Leigh	mr-edward-leigh
Mr	David Lepper	David Lepper	Lepper	mr-david-lepper
Mr	Chris Leslie	Christopher Michael Leslie	Leslie	mr-chris-leslie
Mr	Oliver Letwin	Oliver Letwin	Letwin	mr-oliver-letwin
Mr	Tom Levitt	Thomas Levitt	Levitt	mr-tom-levitt
Mr	Ivan Lewis	Ivan Lewis	Lewis	mr-ivan-lewis
Dr	Julian Lewis	Julian Murray Lewis	Lewis	dr-julian-lewis
Mr	Terry Lewis	Terence Lewis	Lewis	mr-terry-lewis
Mrs	Helen Liddell	Helen Lawrie Liddell	Liddell	mrs-helen-liddell
Mr	David Lidington	David Roy Lidington	Lidington	mr-david-lidington
Mr	Peter Lilley	Peter Bruce Lilley	Lilley	mr-peter-lilley
Mr	Martin Linton	James Martin Linton	Linton	mr-martin-linton
Mr	Ken Livingstone	Kenneth Robert Livingstone	Livingstone	mr-ken-livingstone
Mr	Richard Livsey	Richard A.L. Livsey	Livsey	mr-richard-livsey
Sir	Peter Lloyd	Peter Robert Cable Lloyd	Lloyd	sir-peter-lloyd
Mr	Tony Lloyd	Antony Joseph Lloyd	Lloyd	mr-tony-lloyd
Mr	Elfyn Llwyd	Elfyn Llwyd	Llwyd	mr-elfyn-llwyd
Mr	David Lock	David Anthony Lock	Lock	mr-david-lock
Mr	Michael Lord	Michael Nicholson Lord	Lord	mr-michael-lord
Mr	Tim Loughton	Timothy Paul Loughton	Loughton	mr-tim-loughton
Mr	Andy Love	Andrew McCulloch Love	Love	mr-andy-love
Mr	Peter Luff	Peter James Luff	Luff	mr-peter-luff
Sir	Nicholas Lyell	Nicholas Walter Lyell	Lyell	sir-nicholas-lyell
Mr	Calum MacDonald	Calum Alasdair MacDonald	MacDonald	mr-calum-macdonald
Mr	John MacGregor	John Roddick Russell MacGregor	MacGregor	mr-john-macgregor
Mr	Andrew MacKay	Andrew James MacKay	MacKay	mr-andrew-mackay
Mr	Andrew Mackinlay	Andrew Stuart Mackinlay	Mackinlay	mr-andrew-mackinlay
Mr	David MacLean	David John MacLean	MacLean	mr-david-maclean
Mr	Robert Maclennan	Robert Adam Ross Maclennan	Maclennan	mr-robert-maclennan
Mr	Denis MacShane	Denis MacShane	MacShane	mr-denis-macshane
Ms	Fiona Mactaggart	Fiona Margaret Mactaggart	Mactaggart	ms-fiona-mactaggart
Mr	David Madel	William David Madel	Madel	mr-david-madel
Mr	Ken Maginnis	Kenneth Maginnis	Maginnis	mr-ken-maginnis
Mrs	Alice Mahon	Alice Mahon	Mahon	mrs-alice-mahon
Mr	John Major	John Major	Major	mr-john-major
Mr	Humfrey Malins	Humfrey Jonathan Malins	Malins	mr-humfrey-malins
Miss	Judy Mallaber	Clare Judith Mallaber	Mallaber	miss-judy-mallaber
Mr	Seamus Mallon	Seamus Frederick Mallon	Mallon	mr-seamus-mallon
Mr	Peter Mandelson	Peter Benjamin Mandelson	Mandelson	mr-peter-mandelson
Mr	John Maples	John Cradock Maples	Maples	mr-john-maples
Dr	John Marek	John Marek	Marek	dr-john-marek
Mr	Gordon Marsden	Gordon Marsden	Marsden	mr-gordon-marsden
Mr	Paul Marsden	Paul William Barry Marsden	Marsden	mr-paul-marsden
Mr	David Marshall	David Marshall	Marshall	mr-david-marshall
Dr	Jim Marshall	James Marshall	Marshall	dr-jim-marshall
Mr	Bob Marshall-Andrews	Robert Graham Marshall-Andrews	Marshall-Andrews	mr-bob-marshall-andrews
Mr	Michael Martin	Michael John Martin	Martin	mr-michael-martin
Mr	Eric Martlew	Eric Anthony Martlew	Martlew	mr-eric-martlew
Mr	Michael Mates	Michael John Mates	Mates	mr-michael-mates
Mr	Francis Maude	Francis Anthony Aylmer Maude	Maude	mr-francis-maude
Dr	Brian Mawhinney	Brian Stanley Mawhinney	Mawhinney	dr-brian-mawhinney
Mr	John Maxton	John Alston Maxton	Maxton	mr-john-maxton
Mrs	Theresa May	Theresa Mary May	May	mrs-theresa-may
Mr	John McAllion	John D. McAllion	McAllion	mr-john-mcallion
Mr	Tommy McAvoy	Thomas McLaughlin McAvoy	McAvoy	mr-tommy-mcavoy
Mr	Steve McCabe	Stephen James McCabe	McCabe	mr-steve-mccabe
Ms	Chris McCafferty	Christine McCafferty	McCafferty	ms-chris-mccafferty
Mr	Ian McCartney	Ian McCartney	McCartney	mr-ian-mccartney
Mr	Robert McCartney	Robert Law McCartney	McCartney	mr-robert-mccartney
Ms	Siobhain McDonagh	Siobhain Ann McDonagh	McDonagh	ms-siobhain-mcdonagh
Mr	John McDonnell	John Martin McDonnell	McDonnell	mr-john-mcdonnell
Mr	John McFall	John McFall	McFall	mr-john-mcfall
Mr	Eddie McGrady	Edward Kevin McGrady	McGrady	mr-eddie-mcgrady
Mr	Martin McGuinness	James Martin McGuinness	McGuinness	mr-martin-mcguinness
Mrs	Anne McGuire	Anne McGuire	McGuire	mrs-anne-mcguire
Mrs	Anne McIntosh	Anne Caroline Ballingall McIntosh	McIntosh	mrs-anne-mcintosh
Ms	Shona McIsaac	Shona McIsaac	McIsaac	ms-shona-mcisaac
Mrs	Rosemary McKenna	Rosemary McKenna	McKenna	mrs-rosemary-mckenna
Mr	Henry McLeish	Henry Baird McLeish	McLeish	mr-henry-mcleish
Mr	Patrick McLoughlin	Patrick Allen McLoughlin	McLoughlin	mr-patrick-mcloughlin
Mr	Kevin McNamara	Joseph Kevin McNamara	McNamara	mr-kevin-mcnamara
Mr	Tony McNulty	Anthony James McNulty	McNulty	mr-tony-mcnulty
Mr	Tony McWalter	Anthony McWalter	McWalter	mr-tony-mcwalter
Mr	John McWilliam	John David McWilliam	McWilliam	mr-john-mcwilliam
Mr	Michael Meacher	Michael Hugh Meacher	Meacher	mr-michael-meacher
Mr	Alan Meale	Joseph Alan Meale	Meale	mr-alan-meale
Ms	Gillian Merron	Gillian Joanna Merron	Merron	ms-gillian-merron
Mr	Alun Michael	Alun Edward Michael	Michael	mr-alun-michael
Mr	Bill Michie	William Michie	Michie	mr-bill-michie
Mrs	Ray Michie	Janet Rae Michie	Michie	mrs-ray-michie
Mr	Alan Milburn	Alan Milburn	Milburn	mr-alan-milburn
Mr	Andrew Miller	Andrew Peter Miller	Miller	mr-andrew-miller
Mr	Austin Mitchell	Austin Vernon Mitchell	Mitchell	mr-austin-mitchell
Mrs	Laura Moffatt	Laura Jean Moffatt	Moffatt	mrs-laura-moffatt
Dr	Lewis Moonie	Lewis George Moonie	Moonie	dr-lewis-moonie
Mr	Michael Moore	Michael Kevin Moore	Moore	mr-michael-moore
Ms	Margaret Moran	Margaret Moran	Moran	ms-margaret-moran
Mr	Alasdair Morgan	Alasdair N. Morgan	Morgan	mr-alasdair-morgan
Ms	Julie Morgan	Julie Morgan	Morgan	ms-julie-morgan
Mr	Rhodri Morgan	Hywel Rhodri Morgan	Morgan	mr-rhodri-morgan
Mr	Elliot Morley	Elliot Anthony Morley	Morley	mr-elliot-morley
Ms	Estelle Morris	Estelle Morris	Morris	ms-estelle-morris
Sir	John Morris	John Morris	Morris	sir-john-morris
Mr	Malcolm Moss	Malcolm Douglas Moss	Moss	mr-malcolm-moss
Ms	Kali Mountford	Kali Carol Jean Mountford	Mountford	ms-kali-mountford
Dr	Mo Mowlam	Marjorie Mowlam	Mowlam	dr-mo-mowlam
Mr	George Mudie	George Edward Mudie	Mudie	mr-george-mudie
Mr	Chris Mullin	Christopher John Mullin	Mullin	mr-chris-mullin
Mr	Denis Murphy	Denis Murphy	Murphy	mr-denis-murphy
Mr	Jim Murphy	James Murphy	Murphy	mr-jim-murphy
Mr	Paul Murphy	Paul Peter Murphy	Murphy	mr-paul-murphy
Dr	Douglas Naysmith	John Douglas Naysmith	Naysmith	dr-douglas-naysmith
Mr	Patrick Nicholls	Patrick Charles Martin Nicholls	Nicholls	mr-patrick-nicholls
Mr	Archie Norman	Archibald John Norman	Norman	mr-archie-norman
Mr	Dan Norris	Daniel Norris	Norris	mr-dan-norris
Mr	Bill O'Brien	William O'Brien	O'Brien	mr-bill-obrien
Mr	Mike O'Brien	Michael O'Brien	O'Brien	mr-mike-obrien
Mr	Eddie O'Hara	Edward O'Hara	O'Hara	mr-eddie-ohara
Mr	Bill Olner	William Olner	Olner	mr-bill-olner
Mr	Martin O'Neill	Martin John O'Neill	O'Neill	mr-martin-oneill
Mr	Lembit Öpik	Lembit Öpik	Öpik	mr-lembit-opik
Mrs	Diana Organ	Diana Mary Organ	Organ	mrs-diana-organ
Ms	Sandra Osborne	Sandra Currie Osborne	Osborne	ms-sandra-osborne
Mr	Richard Ottaway	Richard Geoffrey James Ottaway	Ottaway	mr-richard-ottaway
Mr	Richard Page	Richard Lewis Page	Page	mr-richard-page
Mr	Jim Paice	James Edward Thornton Paice	Paice	mr-jim-paice
Reverend Dr	Ian Paisley	Ian Richard Kyle Paisley	Paisley	reverend-dr-ian-paisley
Dr	Nick Palmer	Nicholas Douglas Palmer	Palmer	dr-nick-palmer
Mr	Owen Paterson	Owen William Paterson	Paterson	mr-owen-paterson
Mr	Ian Pearson	Ian Phares Pearson	Pearson	mr-ian-pearson
Mr	Tom Pendry	Thomas Pendry	Pendry	mr-tom-pendry
Ms	Linda Perham	Linda A. Perham	Perham	ms-linda-perham
Mr	Eric Pickles	Eric Jack Pickles	Pickles	mr-eric-pickles
Mr	Colin Pickthall	Colin Pickthall	Pickthall	mr-colin-pickthall
Mr	Peter Pike	Peter Leslie Pike	Pike	mr-peter-pike
Mr	James Plaskitt	James Andrew Plaskitt	Plaskitt	mr-james-plaskitt
Mr	Kerry Pollard	Kerry Patrick Pollard	Pollard	mr-kerry-pollard
Mr	Chris Pond	Christopher Richard Pond	Pond	mr-chris-pond
Mr	Greg Pope	Gregory James Pope	Pope	mr-greg-pope
Mr	Stephen Pound	Stephen Pelham Pound	Pound	mr-stephen-pound
Mr	Ray Powell	Raymond Powell	Powell	mr-ray-powell
Ms	Bridget Prentice	Bridget Theresa Prentice	Prentice	ms-bridget-prentice
Mr	Gordon Prentice	Gordon Prentice	Prentice	mr-gordon-prentice
Mr	John Prescott	John Leslie Prescott	Prescott	mr-john-prescott
Ms	Dawn Primarolo	Dawn Primarolo	Primarolo	ms-dawn-primarolo
Mr	David Prior	David Gifford Leathes Prior	Prior	mr-david-prior
Mr	Gwyn Prosser	Gwynfor Mathews Prosser	Prosser	mr-gwyn-prosser
Mr	Ken Purchase	Kenneth Purchase	Purchase	mr-ken-purchase
Ms	Joyce Quin	Joyce Gwendolen Quin	Quin	ms-joyce-quin
Mr	Lawrie Quinn	Lawrence William Quinn	Quinn	mr-lawrie-quinn
Mr	Giles Radice	Giles Heneage Radice	Radice	mr-giles-radice
Mr	Bill Rammell	William Ernest Rammell	Rammell	mr-bill-rammell
Mr	Syd Rapson	Sydney Norman John Rapson	Rapson	mr-syd-rapson
Mr	Nick Raynsford	Wyvill Richard Nicolls Raynsford	Raynsford	mr-nick-raynsford
Mr	John Redwood	John Alan Redwood	Redwood	mr-john-redwood
Mr	Andy Reed	Andrew John Reed	Reed	mr-andy-reed
Dr	John Reid	John Reid	Reid	dr-john-reid
Mr	David Rendel	David Digby Rendel	Rendel	mr-david-rendel
Mr	Andrew Robathan	Andrew Robert George Robathan	Robathan	mr-andrew-robathan
Mr	Laurence Robertson	Laurence Anthony Robertson	Robertson	mr-laurence-robertson
Mr	Geoffrey Robinson	Geoffrey Robinson	Robinson	mr-geoffrey-robinson
Mr	Peter Robinson	Peter David Robinson	Robinson	mr-peter-robinson
Mrs	Barbara Roche	Barbara Maureen Roche	Roche	mrs-barbara-roche
Mrs	Marion Roe	Marion Audrey Roe	Roe	mrs-marion-roe
Mr	Allan Rogers	Allan Ralph Rogers	Rogers	mr-allan-rogers
Mr	Jeff Rooker	Jeffrey Rooker	Rooker	mr-jeff-rooker
Mr	Terry Rooney	Terence Henry Rooney	Rooney	mr-terry-rooney
Mr	Ernie Ross	Ernest Ross	Ross	mr-ernie-ross
Mr	Willie Ross	William Ross	Ross	mr-willie-ross
Mr	Andrew Rowe	Andrew John Bernard Rowe	Rowe	mr-andrew-rowe
Mr	Ted Rowlands	Edward Rowlands	Rowlands	mr-ted-rowlands
Mr	Frank Roy	Frank Roy	Roy	mr-frank-roy
Mr	Chris Ruane	Christopher Shaun Ruane	Ruane	mr-chris-ruane
Ms	Joan Ruddock	Joan Mary Ruddock	Ruddock	ms-joan-ruddock
Mr	David Ruffley	David Laurie Ruffley	Ruffley	mr-david-ruffley
Mr	Bob Russell	Robert Edward Russell	Russell	mr-bob-russell
Mrs	Christine Russell	Christine Margaret Russell	Russell	mrs-christine-russell
Ms	Joan Ryan	Joan Marie Ryan	Ryan	ms-joan-ryan
Mr	Nick St Aubyn	Nicholas Francis St Aubyn	St Aubyn	mr-nick-st-aubyn
Mr	Alex Salmond	Alexander Elliot Anderson Salmond	Salmond	mr-alex-salmond
Mr	Martin Salter	Martin John Salter	Salter	mr-martin-salter
Mr	Adrian Sanders	Adrian Mark Sanders	Sanders	mr-adrian-sanders
Mr	Mohammad Sarwar	Mohammed Sarwar	Sarwar	mr-mohammad-sarwar
Mr	Malcolm Savidge	Malcolm Kemp Savidge	Savidge	mr-malcolm-savidge
Mr	Phil Sawford	Philip Andrew Sawford	Sawford	mr-phil-sawford
Mr	Jonathan Sayeed	Jonathan Sayeed	Sayeed	mr-jonathan-sayeed
Mr	Brian Sedgemore	Brian Charles John Sedgemore	Sedgemore	mr-brian-sedgemore
Mr	Jonathan Shaw	Jonathan Rowland Shaw	Shaw	mr-jonathan-shaw
Mr	Barry Sheerman	Barry John Sheerman	Sheerman	mr-barry-sheerman
Mr	Robert Sheldon	Robert Edward Sheldon	Sheldon	mr-robert-sheldon
Mrs	Gillian Shephard	Gillian Patricia Shephard	Shephard	mrs-gillian-shephard
Mr	Richard Shepherd	Richard Charles Scrimgeour Shepherd	Shepherd	mr-richard-shepherd
Ms	Debra Shipley	Debra Ann Shipley	Shipley	ms-debra-shipley
Ms	Clare Short	Clare Short	Short	ms-clare-short
Mr	Alan Simpson	Alan John Simpson	Simpson	mr-alan-simpson
Mr	Keith Simpson	Keith Robert Simpson	Simpson	mr-keith-simpson
Mr	Marsha Singh	Marsha Singh	Singh	mr-marsha-singh
Mr	Dennis Skinner	Dennis Edward Skinner	Skinner	mr-dennis-skinner
Mr	Andrew Smith	Andrew David Smith	Smith	mr-andrew-smith
Ms	Angela Smith	Angela Evans Smith	Smith	ms-angela-smith
Mr	Chris Smith	Christopher Robert Smith	Smith	mr-chris-smith
Ms	Geraldine Smith	Geraldine Smith	Smith	ms-geraldine-smith
Ms	Jacqui Smith	Jacqueline Jill Smith	Smith	ms-jacqui-smith
Mr	John Smith	John William Patrick Smith	Smith	mr-john-smith-1
Mr	Llew Smith	Llewellyn Smith	Smith	mr-llew-smith
Sir	Robert Smith	Robert Hill Smith	Smith	sir-robert-smith
Reverend	Martin Smyth	William Martin Smyth	Smyth	reverend-martin-smyth
Mr	Peter Snape	Peter Charles Snape	Snape	mr-peter-snape
Hon.	Nicholas Soames	Arthur Nicholas Winston Soames	Soames	hon-nicholas-soames
Mr	Clive Soley	Clive Stafford Soley	Soley	mr-clive-soley
Ms	Helen Southworth	Helen Mary Southworth	Southworth	ms-helen-southworth
Mr	John Spellar	John Francis Spellar	Spellar	mr-john-spellar
Mrs	Caroline Spelman	Caroline Alice Spelman	Spelman	mrs-caroline-spelman
Mr	Michael Spicer	William Michael Hardy Spicer	Spicer	mr-michael-spicer
Mr	Richard Spring	Richard John Granville Spring	Spring	mr-richard-spring
Ms	Rachel Squire	Rachel Anne Squire	Squire	ms-rachel-squire
Mr	John Stanley	John Paul Stanley	Stanley	mr-john-stanley
Dr	Phyllis Starkey	Phyllis Margaret Starkey	Starkey	dr-phyllis-starkey
Mr	Anthony Steen	Anthony David Steen	Steen	mr-anthony-steen
Mr	Gerry Steinberg	Gerald Steinberg	Steinberg	mr-gerry-steinberg
Mr	George Stevenson	George William Stevenson	Stevenson	mr-george-stevenson
Mr	David Stewart	David John Stewart	Stewart	mr-david-stewart
Mr	Ian Stewart	Ian Stewart	Stewart	mr-ian-stewart
Mr	Paul Stinchcombe	Paul David Stinchcombe	Stinchcombe	mr-paul-stinchcombe
Dr	Howard Stoate	Howard Geoffrey Alvan Stoate	Stoate	dr-howard-stoate
Dr	Gavin Strang	Gavin Steel Strang	Strang	dr-gavin-strang
Mr	Jack Straw	John Whitaker Straw	Straw	mr-jack-straw
Mr	Gary Streeter	Gary Nicholas Streeter	Streeter	mr-gary-streeter
Mr	Graham Stringer	Graham Eric Stringer	Stringer	mr-graham-stringer
Ms	Gisela Stuart	Gisela Gschaide Stuart	Stuart	ms-gisela-stuart
Mr	Andrew Stunell	Robert Andrew Stunell	Stunell	mr-andrew-stunell
Mr	Gerry Sutcliffe	Gerard Sutcliffe	Sutcliffe	mr-gerry-sutcliffe
Mr	Desmond Swayne	Desmond Angus Swayne	Swayne	mr-desmond-swayne
Mr	John Swinney	John R. Swinney	Swinney	mr-john-swinney
Mr	Robert Syms	Robert Andrew Raymond Syms	Syms	mr-robert-syms
Sir	Peter Tapsell	Peter Hannay Bailey Tapsell	Tapsell	sir-peter-tapsell
Mrs	Ann Taylor	Winifred Ann Taylor	Taylor	mrs-ann-taylor
Ms	Dari Taylor	Dari Jean Taylor	Taylor	ms-dari-taylor
Mr	David Taylor	David Leslie Taylor	Taylor	mr-david-taylor
Mr	Ian Taylor	Ian Colin Taylor	Taylor	mr-ian-taylor
Mr	John Taylor	John David Taylor	Taylor	mr-john-taylor
Mr	John Taylor	John Mark Taylor	Taylor	mr-john-taylor-1
Mr	Matthew Taylor	Matthew Owen John Taylor	Taylor	mr-matthew-taylor
Mr	Teddy Taylor	Edward Macmillan Taylor	Taylor	mr-teddy-taylor
Mr	Peter Temple-Morris	Peter Temple-Morris	Temple-Morris	mr-peter-temple-morris
Mr	Gareth Thomas	Gareth Thomas	Thomas	mr-gareth-thomas
Mr	Gareth Thomas	Gareth Richard Thomas	Thomas	mr-gareth-thomas-1
Mr	William Thompson	William John Thompson	Thompson	mr-william-thompson
Mr	Stephen Timms	Stephen Creswell Timms	Timms	mr-stephen-timms
Mr	Paddy Tipping	Simon Patrick Tipping	Tipping	mr-paddy-tipping
Mr	Mark Todd	Mark Wainwright Todd	Todd	mr-mark-todd
Dr	Jenny Tonge	Jennifer Louise Tonge	Tonge	dr-jenny-tonge
Mr	Don Touhig	James Donnelly Touhig	Touhig	mr-don-touhig
Mr	John Townend	John Ernest Townend	Townend	mr-john-townend
Mr	David Tredinnick	David Arthur Stephen Tredinnick	Tredinnick	mr-david-tredinnick
Mr	Michael Trend	Michael St John Trend	Trend	mr-michael-trend
Mr	Jon Trickett	Jon Hedley Trickett	Trickett	mr-jon-trickett
Mr	David Trimble	William David Trimble	Trimble	mr-david-trimble
Mr	Paul Truswell	Paul Anthony Truswell	Truswell	mr-paul-truswell
Mr	Dennis Turner	Dennis Turner	Turner	mr-dennis-turner
Dr	Des Turner	Desmond Stanley Turner	Turner	dr-des-turner
Dr	George Turner	George Turner	Turner	dr-george-turner
Mr	Derek Twigg	John Derek Twigg	Twigg	mr-derek-twigg
Mr	Stephen Twigg	Stephen Twigg	Twigg	mr-stephen-twigg
Mr	Paul Tyler	Paul Archer Tyler	Tyler	mr-paul-tyler
Mr	Andrew Tyrie	Andrew Guy Tyrie	Tyrie	mr-andrew-tyrie
Mr	Keith Vaz	Nigel Keith Anthony Standish Vaz	Vaz	mr-keith-vaz
Mr	Peter Viggers	Peter John Viggers	Viggers	mr-peter-viggers
Dr	Rudi Vis	Rudolf Jan Vis	Vis	dr-rudi-vis
Mr	Cecil Walker	Alfred Cecil Walker	Walker	mr-cecil-walker
Mr	Jim Wallace	James Wallace	Wallace	mr-jim-wallace
Ms	Joan Walley	Joan Lorraine Walley	Walley	ms-joan-walley
Mr	Robert Walter	Robert John Walter	Walter	mr-robert-walter
Ms	Claire Ward	Claire Margaret Ward	Ward	ms-claire-ward
Mr	Charles Wardle	Charles Frederick Wardle	Wardle	mr-charles-wardle
Mr	Robert Wareing	Robert Nelson Wareing	Wareing	mr-robert-wareing
Mr	Nigel Waterson	Nigel Christopher Waterson	Waterson	mr-nigel-waterson
Mr	Dave Watts	David Leonard Watts	Watts	mr-dave-watts
Professor	Steve Webb	Steven John Webb	Webb	professor-steve-webb
Mr	Bowen Wells	Petrie Bowen Wells	Wells	mr-bowen-wells
Mr	Andrew Welsh	Andrew Patrick Welsh	Welsh	mr-andrew-welsh
Mr	Brian White	Brian Arthur Robert White	White	mr-brian-white
Dr	Alan Whitehead	Alan Patrick Vincent Whitehead	Whitehead	dr-alan-whitehead
Sir	Ray Whitney	Raymond William Whitney	Whitney	sir-ray-whitney
Mr	John Whittingdale	John Flasby Lawrence Whittingdale	Whittingdale	mr-john-whittingdale
Mr	Malcolm Wicks	Malcolm Hunt Wicks	Wicks	mr-malcolm-wicks
Miss	Ann Widdecombe	Ann Noreen Widdecombe	Widdecombe	miss-ann-widdecombe
Mr	Dafydd Wigley	Dafydd Wynne Wigley	Wigley	mr-dafydd-wigley
Mr	John Wilkinson	John Arbuthnot Ducane Wilkinson	Wilkinson	mr-john-wilkinson
Mr	David Willetts	David Lindsey Willetts	Willetts	mr-david-willetts
Mr	Alan L. Williams	Alan Lee Williams	Williams	mr-alan-l-williams
Dr	Alan Wynne Williams	Alan Wynne Williams	Williams	dr-alan-wynne-williams
Mrs	Betty Williams	Betty Helena Williams	Williams	mrs-betty-williams
Mr	Phil Willis	George Philip Willis	Willis	mr-phil-willis
Mr	Michael Wills	Michael David Wills	Wills	mr-michael-wills
Mr	David Wilshire	David Wilshire	Wilshire	mr-david-wilshire
Mr	Brian Wilson	Brian David Henderson Wilson	Wilson	mr-brian-wilson
Mr	David Winnick	David Julian Winnick	Winnick	mr-david-winnick
Mrs	Ann Winterton	Jane Ann Winterton	Winterton	mrs-ann-winterton
Mr	Nicholas Winterton	Nicholas Raymond Winterton	Winterton	mr-nicholas-winterton
Ms	Rosie Winterton	Rosalie Winterton	Winterton	ms-rosie-winterton
Mr	Mike Wood	Michael Roy Wood	Wood	mr-mike-wood
Mr	Shaun Woodward	Shaun Anthony Woodward	Woodward	mr-shaun-woodward
Mr	Phil Woolas	Philip James Woolas	Woolas	mr-phil-woolas
Mr	Tony Worthington	Anthony William Worthington	Worthington	mr-tony-worthington
Mr	James Wray	James Wray	Wray	mr-james-wray
Dr	Tony Wright	Anthony Wayland Wright	Wright	dr-tony-wright
Mr	Tony Wright	Anthony David Wright	Wright	mr-tony-wright
Mr	Derek Wyatt	Derek Murray Wyatt	Wyatt	mr-derek-wyatt
Mr	Tim Yeo	Timothy Stephen Kenneth Yeo	Yeo	mr-tim-yeo
Sir	George Young	George Samuel Knatchbull Young	Young	sir-george-young
Mr	Leopold Agar-Ellis	Leopold George Agar-Ellis	Agar-Ellis	mr-leopold-agar-ellis
Hon.	Thomas Agar-Robartes	Thomas Charles Agar-Robartes	Agar-Robartes	hon-thomas-agar-robartes
Mr	Henry Raikes	Henry Cecil Raikes	Raikes	mr-henry-raikes
